,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
301,novikovo,3.19,51.1537,37.8879,2,5.74,66
302,westport,19.91,41.1415,-73.3579,1,7.2,24
303,hibbing,4.15,47.4272,-92.9377,20,5.66,38
304,jalu,19.08,29.0331,21.5482,0,10.57,63
305,leninsk,6.84,48.7119,45.1994,0,3.0,81
306,puerto suarez,32.0,-18.95,-57.8,0,3.09,51
307,sitka,14.0,57.0531,-135.33,1,0.8,30
308,gouyave,30.0,12.1646,-61.7296,20,15.43,62
309,zaqatala,15.0,41.6336,46.6433,0,3.09,77
310,datong,10.14,40.0936,113.2914,100,2.29,63
311,provideniya,2.79,64.3833,-173.3,99,0.24,80
312,padang,24.75,-0.9492,100.3543,68,1.13,87
313,tailai,6.81,46.3833,123.4,4,3.68,28
314,iqaluit,0.77,63.7506,-68.5145,40,1.54,80
315,ihosy,18.6,-22.4,46.1167,91,3.7,87
316,codrington,10.46,-38.2667,141.9667,96,2.19,89
317,durban,19.36,-29.8579,31.0292,40,5.66,83
318,marsabit,20.42,2.3284,37.9899,79,3.93,72
319,kirakira,26.28,-10.4544,161.9205,100,2.26,82
320,port augusta,11.0,-32.5,137.7667,0,2.06,87
321,escanaba,9.0,45.7453,-87.0646,90,2.57,66
322,cidreira,22.5,-30.1811,-50.2056,24,4.96,77
323,livingston,7.5,55.9029,-3.5226,0,4.12,81
324,polovinnoye,6.46,54.7914,65.9864,100,6.4,47
325,pevek,-5.95,69.7008,170.3133,100,1.11,86
326,jieshi,22.2,22.8134,115.8257,81,3.05,88
327,port hardy,9.0,50.6996,-127.4199,90,2.06,93
328,esperance,14.0,-33.8667,121.9,31,6.17,77
329,unity,4.47,52.4501,-109.1682,82,3.03,24
330,mamallapuram,29.0,12.6264,80.1722,40,2.06,79
331,deputatskiy,-12.04,69.3,139.9,100,1.46,83
332,kaitangata,7.78,-46.2817,169.8464,28,0.89,87
333,banepa,16.0,27.6298,85.5214,20,2.06,59
334,manitouwadge,-0.7,49.1215,-85.8403,90,6.17,80
335,kidal,33.62,18.4411,1.4078,0,4.48,6
336,lagoa,14.96,39.05,-27.9833,18,11.86,83
337,hambantota,25.0,6.1241,81.1185,20,1.03,100
338,kijang,15.0,35.2442,129.2139,0,0.51,72
339,vao,24.47,-22.6667,167.4833,100,6.28,68
340,vila franca do campo,15.0,37.7167,-25.4333,75,4.12,82
341,fortuna,13.15,40.5982,-124.1573,20,4.63,71
342,mpwapwa,18.17,-6.35,36.4833,74,1.91,97
343,port-gentil,28.0,-0.7193,8.7815,40,2.57,83
344,chanthaburi,26.11,12.8333,102.1667,81,1.3,99
345,macherla,29.32,16.4833,79.4333,3,4.21,63
346,vila velha,26.0,-20.3297,-40.2925,20,5.14,69
347,shaowu,19.5,27.3409,117.4831,100,1.06,98
348,zhezkazgan,6.97,47.8043,67.7144,80,6.98,32
349,miles city,10.0,46.4083,-105.8406,20,6.17,40
350,clearlake,14.14,38.9582,-122.6264,100,2.24,65
351,bangkalan,26.0,-7.0455,112.7351,40,1.54,94
352,plettenberg bay,16.39,-34.0527,23.3716,84,1.89,91
353,torbay,12.0,47.6666,-52.7314,40,12.86,35
354,shadrinsk,6.56,56.0852,63.6335,99,5.56,47
355,port keats,20.6,-14.25,129.55,78,3.8,33
356,carlagan,25.39,14.975,122.0456,27,1.87,82
357,dunedin,10.0,-45.8742,170.5036,79,3.58,71
358,aldergrove,9.93,49.058,-122.4709,90,2.57,81
359,henties bay,18.3,-22.116,14.2845,0,2.73,82
360,portland,9.46,45.5234,-122.6762,90,2.57,81
361,sartana,7.78,47.1744,37.6927,20,2.68,100
362,faya,15.0,18.3851,42.4509,75,4.12,67
363,palmerston,19.0,-12.486,130.9833,98,1.54,63
364,kalmunai,26.38,7.4167,81.8167,18,0.74,77
365,shingu,11.86,33.7333,135.9833,6,2.0,88
366,usogorsk,6.75,63.4106,48.6872,44,2.49,72
367,dandong,9.15,40.1292,124.3947,5,5.77,42
368,kautokeino,-4.36,69.0125,23.0412,100,7.37,82
369,paita,30.0,-5.0892,-81.1144,0,6.69,51
370,tuatapere,8.33,-46.1333,167.6833,100,1.34,91
371,fayetteville,16.48,35.0527,-78.8784,90,4.12,88
372,camacupa,19.65,-12.0167,17.4833,94,1.62,58
373,port blair,27.45,11.6667,92.75,4,2.56,74
374,phalaborwa,21.0,-23.943,31.1411,5,0.51,78
375,lethem,32.33,3.3803,-59.7968,98,3.81,49
376,beloha,24.02,-25.1667,45.05,7,5.83,60
377,tommot,-0.44,58.9564,126.2925,99,2.89,95
378,mackay,19.77,-21.15,149.2,90,3.09,100
379,ambon,25.0,-3.6954,128.1814,40,2.06,94
380,senneterre,13.0,48.3835,-77.2328,40,3.6,38
381,birsk,5.66,55.4211,55.5428,100,2.65,95
382,horodnya,1.17,51.8909,31.5974,47,4.17,76
383,nyzy,2.14,50.7828,34.7844,3,4.09,69
384,altamira,26.0,-3.2033,-52.2064,75,1.54,89
385,semey,3.84,50.4111,80.2275,13,1.87,42
386,kharan,26.75,28.5833,65.4167,0,4.04,11
387,cuiluan,0.05,47.72,128.648,8,1.71,58
388,maumere,25.93,-8.6199,122.2111,10,1.99,78
389,tungi,29.0,23.89,90.4058,40,1.98,61
390,bathsheba,29.0,13.2167,-59.5167,40,8.75,58
391,general teran,35.0,25.2667,-99.6833,0,6.34,10
392,ada,12.49,43.4166,-116.1262,75,1.54,62
393,kailua,25.16,21.4022,-157.7394,40,6.69,65
394,codajas,29.22,-3.8367,-62.0569,73,1.3,77
395,nanakuli,25.04,21.3906,-158.1547,1,4.12,54
396,rantepao,18.53,-2.9701,119.8978,99,1.1,97
397,aykhal,-6.9,66.0,111.5,100,2.68,96
398,kiunga,22.54,-6.1219,141.2906,100,2.64,98
